artid,catid,"art_name","art_name_eng","art_details","art_details_eng",art_price,id_ext,"ref",stock,"date",escaparate
494,188,"Plato huevo chorizo","","Plato de barro con 2 huevos fritos y 2 chorizos. Diametro 3,4 cm","",3.6,1,"C61   ",25,"25, 4, 2008",0
493,187,"Aguacate","","Elaborado con porcelana rusa teÔøΩida. Medidas 1 cm . Precio unidad","",0.35,1,"C18    ",100,"25, 4, 2008",0
492,187,"Alcachofas","","Elaborado con porcelana rusa teÔøΩida. Medidas 1,1 cm . Precio unidad","",1,1,"C17   ",75,"25, 4, 2008",0
491,187,"Cerezas","","Elaborado con porcelana rusa teÔøΩida. Medidas 0,3cm cada cereza. Precio de dos cerezas con cabo","",1,1,"C16   ",150,"25, 4, 2008",0
490,187,"ChampiÒones","","Elaborado con porcelana rusa. Medidas 0,8cm de alto. Precio unidad","",1,1,"C14  ",150,"25, 4, 2008",0
489,187,"CastaÒas","","Elaborado con porcelana rusa teÔøΩida. Medidas 0,6 cm. Precio unidad","",0.6,1,"C13    ",150,"25, 4, 2008",0
488,187,"JudÌas verdes","","Elaborado con porcelana rusa teÔøΩida. Medidas 0,2x 1,6 cm. Precio unidad","",0.25,1,"C12   ",300,"25, 4, 2008",0
487,187,"Tomate","","Elaborado con porcelana rusa teÔøΩida. Medidas 1cm. Precio unidad","",0.7,1,"C11   ",150,"25, 4, 2008",0
486,187,"Berenjena","","Elaborado con porcelana rusa teÔøΩida. Medidas 1,4 cm. Precio unidad","",0.7,1,"C10    ",150,"25, 4, 2008",0
485,187,"Pimiento rojo","","Elaborado con porcelana rusa teÔøΩida. Medidas 1,3 cm. Precio unidad","",0.7,1,"C9b    ",75,"25, 4, 2008",0
484,187,"Pimiento verde","","Elaborado con porcelana rusa teÔøΩida. Medidas 1,3 cm. Precio unidad","",0.7,1,"C9a     ",75,"25, 4, 2008",0
483,187,"PiÒa de pl·tanos","","Elaborada con porcelana rusa teÒida. Dimensiones del pl·tano0,4x2  cm. Precio de la piÒa. Foto no disponible","",4.2,1,"C8  ",100,"25, 4, 2008",0
482,187,"Pl·tano","","Elaborada con porcelana rusa teÒida. Dimensiones 0,4x2 cm. Precio 2 pl·tanos.","",1.8,1,"C7    ",100,"25, 4, 2008",0
481,187,"Patata","","Elaborada con porcelana rusa teÔøΩida. Dimensiones 0,9 cm. Precio unidad","",0.35,1,"C5   ",150,"25, 4, 2008",0
480,187,"LimÛn","","Elaborada con porcelana rusa teÒida. Dimensiones 0,9 cm. Precio unidad","",0.35,1,"C4    ",150,"25, 4, 2008",0
479,187,"Pera","","Elaborada con porcelana rusa teÔøΩida. Dimensiones 0,9 cm. Precio unidad","",0.6,1,"C3   ",150,"25, 4, 2008",0
478,187,"Manzana","","Elaborada con porcelana rusa teÔøΩida. Dimensiones 0,9 cm. Precio unidad","",0.35,1,"C2   ",150,"25, 4, 2008",0
477,187,"Naranja","","Elaborada con porcelana rusa teÔøΩida. Dimensiones 0,9 cm. Precio unidad","",0.35,1,"C1   ",150,"25, 4, 2008",0
556,187,"Lechuga",""," Dimensiones 2,8cm. de alto. Precio unidad","",3,1,"C26os   ",100,"9, 5, 2008",0
557,187,"Lechuga mini",""," Para figuras de 5 a 8 cm. Altura 1,2cm. Precio unidad.","",1.8,1,"C26m    ",75,"9, 5, 2008",0
554,187,"Hoja de roble",""," Dimensiones 1,5cm. de alto y 1,8 de diametro. Precio unidad.","",3,1,"C25   ",70,"9, 5, 2008",0
562,187,"Apio",""," Dimensiones 5cm de alto. Modelado a mano con porcelana rusa","",3,1,"C29      ",50,"9, 5, 2008",0
563,187,"Apio mini",""," Dimensiones cm de alto. Modelado a mano con porcelana rusa. Foto no disponible","",1.8,1,"C29m     ",50,"9, 5, 2008",0
564,187,"Coliflor",""," Dimensiones 1,7cm de alto y 2,1 de diametro. Modelado a mano con porcelana rusa.","",3,1,"C30   ",75,"9, 5, 2008",0
565,187,"Coliflor mini",""," Dimensiones 1 cm de diametro. Modelado a mano con porcelana rusa. Precio unidad.","",2.2,1,"C30m   ",75,"9, 5, 2008",0
566,187,"MelÛn",""," Dimensiones 2,8 cm.","",1.8,1,"C31a    ",50,"9, 5, 2008",0
